Longitude,Latitude
11.5690985,50.9310375
11.5594025,50.9360636
11.5779524,50.9389066
11.5779307,50.9460218
11.5713993,50.9147860
11.5674998,50.9140545
11.5635279,50.9360917
11.6056779,50.9310649
11.5642959,50.9365887
11.5753207,50.9340544
11.6035363,50.9217879
11.6174688,50.9294352
11.6110507,50.9341293
11.5770204,50.9328776
11.5890250,50.9390761
11.5702768,50.9194698
11.5837520,50.9156289
11.5644747,50.9352992
11.6023572,50.9230186
11.5838411,50.9427916
11.5694736,50.9300256
11.5760881,50.9179231
11.5791913,50.9397310
11.5911612,50.9449757
11.5999557,50.9163128
11.5610184,50.9389417
11.6122206,50.9466871
11.6043574,50.9389600
11.6160125,50.9091167
11.6180892,50.9120239
11.5609842,50.9268007
11.5761601,50.9275924
11.6096232,50.9457390
11.5670222,50.9327311
11.5878557,50.9162264
11.5941179,50.9348922
11.5732454,50.9116360
11.5950261,50.9111983
11.6165077,50.9092247
11.6079562,50.9397505
11.5740940,50.9281046
11.5932561,50.9307707
11.5922750,50.9208034
11.5662951,50.9280747
11.5967266,50.9160148
11.6167648,50.9391031
11.6186037,50.9150235
11.6166655,50.9073853
11.5770636,50.9451720
11.6163722,50.9411936
11.5688398,50.9272671
11.5744388,50.9468093
11.5911645,50.9391413
11.5959727,50.9192600
11.5793851,50.9084769
11.5858546,50.9293465
11.6079085,50.9127287
11.5606087,50.9423918
11.5848125,50.9373642